,template,run,mean,source_data,bw,paylen,impl_head,has_crc,cr,frames,frame_period,delay_sf1,delay_sf2,delay_sf3,delay_sf4,delay_sf5,delay_sf6,num_right,num_total,num_dec,time,load
41,lora_sim_multi2,16,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,10,20,19,16.802493095398,1.15
42,lora_sim_multi2,17,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,14,20,19,16.7379381656647,1.13
43,lora_sim_multi2,18,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,13,20,17,16.517874956131,1.09
44,lora_sim_multi2,19,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,10,20,10,16.2074420452118,2.69
45,lora_sim_multi2,20,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,18,20,19,15.8028681278229,2.3
46,lora_sim_multi2,21,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,11,20,17,15.7210838794708,2.48
47,lora_sim_multi2,22,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,15,20,16,15.6511096954346,2.07
48,lora_sim_multi2,23,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,20,17,15.6362762451172,1.69
49,lora_sim_multi2,24,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,20,18,15.6303932666779,1.31
50,lora_sim_multi3,0,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,30,22,15.6240022182465,1.26
51,lora_sim_multi3,1,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,30,26,15.6108453273773,1.06
52,lora_sim_multi3,2,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,22,30,24,15.6075248718262,1.52
53,lora_sim_multi3,3,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,30,24,15.5436398983002,1.25
54,lora_sim_multi3,4,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,19,30,25,15.5299880504608,1.12
55,lora_sim_multi3,5,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,16,30,23,15.4672749042511,0.87
56,lora_sim_multi3,6,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,21,30,23,15.4642372131348,0.82
57,lora_sim_multi3,7,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,30,24,15.4094769954681,0.64
58,lora_sim_multi3,8,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,30,25,15.401437997818,0.5
59,lora_sim_multi3,9,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,25,30,28,15.3619318008423,0.79
60,lora_sim_multi3,10,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,16,30,21,15.2266736030579,0.82
61,lora_sim_multi3,11,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,16,30,23,15.2191715240479,0.99
62,lora_sim_multi3,12,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,22,30,27,15.1134362220764,2.54
63,lora_sim_multi3,13,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,20,30,25,14.9878225326538,2.04
64,lora_sim_multi3,14,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,17,30,26,14.9548082351685,1.66
65,lora_sim_multi3,15,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,16,30,23,14.8655185699463,1.42
66,lora_sim_multi3,16,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,14,30,21,14.8583586215973,2.34
67,lora_sim_multi3,17,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,8,30,11,14.8258974552155,2.65
68,lora_sim_multi3,18,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,21,30,27,14.8125329017639,2.06
69,lora_sim_multi3,19,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,23,30,26,14.8032948970795,1.81
70,lora_sim_multi3,20,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,15,30,26,14.801521062851,1.69
71,lora_sim_multi3,21,1000,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,250000,64,True,False,4,10,200,0,0,0,0,0,0,10,30,13,14.797997713089,2.37
