,template,time_wait,input_data,sf,paylen,impl_head,has_crc,cr,frames,time,data_rate,load_1min,load_5min,load_15min,num_right,num_total,num_dec,num_per,threshold,noise,avg_snr,avg_signal_power,avg_noise_power
59,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.022627353668213,159.09999702467775,2.55,1.73,1.5,8,10,8,80.0,85,7.0,7.685885000000007,825.8405430531914,140.7210824680851
60,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.022627353668213,159.09999702467775,2.43,1.71,1.5,8,10,8,80.0,10,7.5,7.685885000000007,825.8405430531914,140.7210824680851
61,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.022627353668213,159.09999702467775,2.23,1.69,1.49,8,10,8,80.0,35,7.5,7.685885000000007,825.8405430531914,140.7210824680851
62,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.091213226318359,156.43281457024653,2.13,1.67,1.49,9,10,9,90.0,60,7.5,7.423317468749995,832.6705525833336,150.72747422916666
63,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,4.091213226318359,156.43281457024653,2.04,1.66,1.49,9,10,9,90.0,85,7.5,7.423317468749995,832.6705525833336,150.72747422916666
64,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.641632080078125,175.74537622874573,2.04,1.66,1.49,7,10,8,70.0,10,8.0,7.180750744897962,839.7225011734694,160.73491554081633
65,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6192266941070557,176.83335532479055,1.96,1.65,1.48,7,10,8,70.0,35,8.0,7.17894927777778,839.6097887111112,160.78146494444442
66,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.6245357990264893,176.5743354423198,1.88,1.64,1.48,7,10,8,70.0,60,8.0,6.846060600000003,779.2527433684206,161.11351251578952
67,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.603652000427246,177.59761484297655,1.73,1.61,1.47,7,10,8,70.0,85,8.0,7.178867622222223,839.5830749777774,160.77951573333328
68,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.603652000427246,177.59761484297655,1.73,1.61,1.47,7,10,8,70.0,10,8.5,7.178867622222223,839.5830749777774,160.77951573333328
69,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.603652000427246,177.59761484297655,1.67,1.6,1.47,7,10,8,70.0,35,8.5,7.178867622222223,839.5830749777774,160.77951573333328
70,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.603652000427246,177.59761484297655,1.62,1.59,1.47,7,10,8,70.0,60,8.5,7.178867622222223,839.5830749777774,160.77951573333328
71,frame_detector,200,PKdhtXMmr18n2L9K88eMlGn7CcctT9RwKSB1FebW397VI5uG1yhc3uavuaOb9vyJ,9,64,True,False,2,10,3.603652000427246,177.59761484297655,2.05,1.68,1.5,7,10,8,70.0,85,8.5,7.178867622222223,839.5830749777774,160.77951573333328
